ID,Balticammina.pseudomacrescens,Haplophragmoides.spp.,Jadammina.macrescens,Miliammina.fusca,Trochammina.inflata,Cibicides.lobatulus,Stainforthia.fusiformis,Haynesina.germanica,Quinqueloculina.spp.,Elphidium.williamsoni,Elphidium.spp.,Ammonia.spp.,Brizalina.pseudopunctata,Bulimina.marginata,Cyclogyra.involvens,Fissurina.lucida,Fissurina.marginata,Gavelinopsis.praegeri,Globigerina.quinqueloba,Lagena.semistriata,Lagena.sulcata,Pateoris.hauerinoides,Planorbulina.mediterranensis,Reophax.scottii,Rosalina.williamsoni,Spirillina.vivipara,Spiroloculina.excavata,Spiroloculina.rotunda,Trochammina.ochracea,Trochammina.squamata,Brizalina.inflata,Brizalina.variabilis,Buliminella.elegantissima,Cassidulina.obtusa,Glabratella.millettii,Rosalina.spp.,Cornuspira.involvens,Lagena.spp.,Miliolinella.subrotunda,Patellina.corrugata,Lamarckina.haliotidea,Nonionoides.turgidus,Paratrochammina.haynesi,Paratrochammina.spp.,Tiphotrocha.comprimata,Agglut.unidentified,Melonis.barleeanus,Nonion.spp.,Unidentified.spp.,Trochamminita.spp.,Ammobaculites.spp.,Ammodiscus.spp.,Site,Total.dead,Elevation,SWLI,HoF
AMIII1,0,0,0,0,0,71.2,0,2.9,12.2,5.4,1,1.5,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alnmouth,547,0,87.26,88.09
AMIII2,0,0,0,0,0,61.5,0,3.5,23,2.5,0.5,1.5,0,0,0,0,0,0,0,0,0,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alnmouth,800,0.1,91.12,91.7
AMIII3,0,0,0,0,0,66.5,0,0,19.7,3,0,2,0,0,0,0,0,0,0,0,0,6.4,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alnmouth,541,0.3,98.84,98.92
AMIII4,0,0,0,0,0,57.9,0,5.1,17.6,6.5,0,0.9,0,0.5,0,0,0,0,0,0,0,7.4,0,0,3.7,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alnmouth,576,0.5,106.56,106.14
AMIII5,0,0,0,0,0,69.6,0,6.9,11.8,3.9,1,2,0,0,0,0,0,0,0,0,0,2.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alnmouth,816,0.6,110.42,109.75
AMIII6,0,0,1.8,0,0.3,18.9,9.5,40.8,1.5,13.9,2.1,0.3,0,0.3,0,0,0,0,0,0,0.3,3,2.7,1.2,0.6,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alnmouth,2704,0.4,102.7,102.53
AMIII7,0,0,0.2,0,0.2,14.6,22.7,28.6,2.6,14.1,2.9,0.2,2.9,1.2,0.2,0,0,0,0,0,1,4.5,1.4,0.5,1.7,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alnmouth,3352,0.5,106.56,106.14
AMIII8,0,0,2.6,1.1,0,24.2,12.8,37,1.1,11.3,5.3,1.9,0.8,0.4,0,0,0,0,0,0.4,0.4,0,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alnmouth,2120,0.8,118.15,116.97
AMIII9,0,0,0.6,0.3,0,12.7,7.7,47.5,1.8,2.6,3.9,0.6,1.8,0,0,0,0,0,0,0.3,0.9,1.8,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alnmouth,2712,0.9,122.01,120.58
AMIII10,0,0,0.5,0,0,4.9,20.6,35.9,0.3,24,4.4,0.5,2.9,0,0,0,0,0.3,1,0.8,0,1.3,0.3,0.5,1.3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alnmouth,3072,1.1,129.73,127.8
AMIII11,0,0,0.6,0,0.6,5.5,6.1,37.4,0.6,38,1.5,4,0.9,0,0,0,0.3,0,0.3,0.9,0.6,0.9,0.3,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alnmouth,2608,1.3,137.45,135.02
AMIII12,0,0,6.6,0,0.4,20.2,13.6,16.2,3.1,32.5,0.4,1.8,0,0.4,0,0.4,1.3,0,0.4,0,0,0,0,0.4,0.4,0.4,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alnmouth,1824,1.4,141.31,138.63
AMIII13,0,0,6.6,0,2.8,5.2,23.6,20.8,4.7,22.6,2.4,1.9,0.9,0,0,0,2.8,0,1.4,0,0.5,0.5,0,0,0,1.9,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alnmouth,848,1.6,149.03,145.85
