"","RMSE","R2","Avg.Bias","Max.Bias","Skill","delta.RMSE","p"
"WA.inv","18.7430721175137","0.632417179259868","-0.028159395038219","62.6813423012768","63.2416312148292",NA,NA
"WA.cla","22.6612889577735","0.634444869003704","0.00791593159413922","50.7237671492022","47.253360525201",NA,NA
"WA.inv.tol","17.7833855889725","0.674484700856222","-0.340427210225111","64.3670739953551","67.4174807540116","-5.12022000728698","0"
"WA.cla.tol","20.7267100608999","0.675739779121286","-0.402279024586204","55.1533801018341","56.8548860170737","-8.53693230106421","0"
"1","WAPLS-C 2-loo","NA","NA","NA","NA","NA","NA"
"Comp01","18.7418329216814","0.632307354546211","-0.0358461236746787","62.6032261305733","63.2302959673771","-38.4888280349356","0.001"
"Comp02","17.7862507712327","0.684437234416798","0.200096709096324","62.0025138967432","68.3175124239582","-5.09865899691817","0.02"
"Comp03","17.3229628059337","0.730869550828114","0.325356194477004","53.4809446160194","72.9177098692273","-2.60475336403307","0.018"
"Comp04","17.654677967265","0.738678448606349","0.411076098974186","47.7764811575685","73.5965394315788","1.91488699160464","0.291"
"Comp05","18.517322889656","0.735930526032264","0.821691852123776","43.039404328461","72.8582548090031","4.8862115978012","0.758"
"11","WAPLS-C 2-loso","NA","NA","NA","NA","NA","NA"
"Comp011","24.713105503147","0.363869034380439","0.209429255551393","69.1473700809679","34.2132357594947","-18.8909596650871","0.001"
"Comp021","25.2725579555427","0.427567428197488","4.19432380616297","72.1167230403862","31.2009752917274","2.26378854864867","0.764"
"Comp031","34.270907102067","0.400234127986251","9.95557945590095","68.5412544977177","-26.5129780482631","35.6052171780689","1"
"Comp041","42.1988126668992","0.399814301939824","12.1851355793234","78.7022996539847","-91.815784577491","23.1330485102743","1"
"Comp051","51.5177859961583","0.373723823029567","15.5756080800536","97.436580227357","-185.889536712345","22.0834965258841","1"
